created_at;suburb;time;status;location;area
Fri Dec 01 02:38:46 +0000 2023;Wanneroo;10:38:00; ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO
Fri Dec 01 02:38:46 +0000 2023;Mariginiup;10:38:00; ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO
Fri Dec 01 02:45:04 +0000 2023;Hamersley;10:45:00; ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON
Fri Dec 01 03:52:00 +0000 2023;Wanneroo;11:51:00; ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO
Fri Dec 01 03:52:00 +0000 2023;Mariginiup;11:51:00; ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO
Fri Dec 01 07:55:39 +0000 2023;Wanneroo;15:55:00; ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO
Fri Dec 01 07:55:39 +0000 2023;Mariginiup;15:55:00; ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO
Fri Dec 01 08:03:57 +0000 2023;Hamersley;16:03:00; ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON
Fri Dec 08 02:43:22 +0000 2023;Postans;10:43:00; BURNT;POSTANS;CITY OF KWINANA
Fri Dec 08 02:52:48 +0000 2023;Hamersley;10:52:00; ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON
Fri Dec 08 07:10:06 +0000 2023;Hamersley;15:10:00; BURNT;HAMERSLEY RANGE;SHIRE OF ASHBURTON
Fri Dec 08 08:53:56 +0000 2023;Bullsbrook;16:53:00; ADVICE;BULLSBROOK;CITY OF SWAN
Fri Dec 08 09:07:53 +0000 2023;Bullsbrook;17:07:00; WATCH AND ACT;BULLSBROOK;CITY OF SWAN
Fri Dec 08 11:04:20 +0000 2023;Bullsbrook;19:04:00; WATCH AND ACT;BULLSBROOK;CITY OF SWAN
Fri Dec 08 11:26:19 +0000 2023;Bullsbrook;19:26:00; WATCH AND ACT;BULLSBROOK;CITY OF SWAN
Fri Dec 08 12:54:32 +0000 2023;Bullsbrook;20:54:00; WATCH AND ACT;BULLSBROOK;CITY OF SWAN
