created_at;suburb;time;status;location;area
Mon Jan 01 06:29:43 +0000 2024;Serpentine;14:29:00; WATCH AND ACT;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE
Fri Jan 05 03:00:23 +0000 2024;East Rockingham;11:00:00; ADVICE;EAST ROCKINGHAM;CITY OF ROCKINGHAM
Sun Jan 07 08:27:39 +0000 2024;Oldbury;16:27:00; WATCH AND ACT;OLDBURY;SHIRE OF SERPENTINE-JARRAHDALE
Fri Jan 12 14:23:09 +0000 2024;Jarrahdale;22:23:00; ADVICE;JARRAHDALE;SHIRE OF SERPENTINE-JARRAHDALE
Sat Jan 13 04:25:28 +0000 2024;Wanneroo;12:25:00; ADVICE;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING
Sun Jan 14 01:27:28 +0000 2024;South Lake;09:27:00; ADVICE;Lake Muir Nature Reserve;SHIRE OF MANJIMUP
Mon Jan 15 02:56:01 +0000 2024;Gnangara;10:56:00; BURNT;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING
Fri Jan 19 02:34:48 +0000 2024;Hamersley;10:34:00; ADVICE;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON
Mon Jan 22 06:35:24 +0000 2024;Gnangara;14:35:00; ADVICE;MUCHEA and PINJAR;SHIRE OF CHITTERING and CITY OF WANNEROO
Fri Jan 26 02:51:15 +0000 2024;Southern River;10:51:00; ADVICE;the Collie River;SHIRES OF COLLIE AND DARDANUP
